4023f64a554427cc637d12ebc69236984508cfeb 2026-09-26T13:08:26+09:00 2026-09-26T13:08:26+09:00 Fentanest | Merge community ingest integration (mandatory Kakao + share consent gate, capture, upload)
8a1185ede7ee6cba51f9a440135b83ba1c2839fa 2026-09-26T12:50:53+09:00 2026-09-26T12:50:53+09:00 Fentanest | Record the community integration review fixes in the changelog
4754d9fbd574f804271494c43963f62c0a76fe52 2026-09-26T12:46:12+09:00 2026-09-26T12:46:12+09:00 Fentanest | Confirm the local deletion before resetting the writer file
ea5c342b514097a80ef710ee437ea3c6b3828e73 2026-09-26T12:23:52+09:00 2026-09-26T12:23:52+09:00 Fentanest | Separate prepared and confirmed deletions and keep unknown outcomes blocked
b8e49a95ca4ce568063546426f2a477f0249d9fc 2026-09-26T11:53:59+09:00 2026-09-26T11:53:59+09:00 Fentanest | Keep the deletion marker in community.db and write it before asking the center
47c41c3e48b81a9cd72cb6e9cc5762becd013644 2026-09-26T11:32:09+09:00 2026-09-26T11:32:09+09:00 Fentanest | Record the T7 browser QA findings and verdicts
703332e628ff0571e33edcaedecf74560d7749d0 2026-09-26T11:30:37+09:00 2026-09-26T11:30:37+09:00 Fentanest | Make the PC live-stack test independent of consent left by other runs
c188f70d8d609afabf0519463e350520c812a8cd 2026-09-26T11:14:05+09:00 2026-09-26T11:14:05+09:00 Fentanest | Block pre-deletion shares by row order and close event sockets on any gate loss
435c01c47b1946c3764506e087ca62b2b3dd909b 2026-09-26T10:42:49+09:00 2026-09-26T10:42:49+09:00 Fentanest | Document the community gate API, WebSocket and media auth contract
e3cc7e8a1c23204261002430c72ad2d34d20b0a3 2026-09-26T10:42:35+09:00 2026-09-26T10:42:35+09:00 Fentanest | List the community docs in the agent doc map
d37749e8be80fa3b3bbf7ea5b2b1f69401d1f2da 2026-09-26T10:36:13+09:00 2026-09-26T10:36:13+09:00 Fentanest | Let the browser smoke suite seed a consented community session on the local stack
